UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2024,9,4126135,2107641,2018494,1478138,1411231,321573,313597,36113,35121,134378,126623,7450,7296,129989,124626,1597600,1525788,391884,381446,61097,59026,183166,173061,16562,15902,1562145,1491077,1024198,972790,286236,279150,16272,15595,126781,119325,4787,4675,103871,99542,1120068,1064711,342921,333934,32410,30976,167691,158188,11596,11100,545496,527417,453940,438441,35337,34447,19841,19526,7597,7298,2663,2621,26118,25084,477532,461077,48963,47512,28687,28050,15475,14873,4966,4802
R,7,2024,10,4112557,2105887,2006670,1480946,1405042,322263,313039,36340,35039,130656,123663,7137,6926,128545,122961,1599110,1518044,391351,380161,61201,58768,179125,169184,16283,15542,1563734,1486616,1029716,972488,286651,278731,16627,15897,123356,116793,4649,4500,102735,98207,1124601,1063163,342319,332967,32753,31216,163981,154829,11444,10902,542153,520054,451230,432554,35612,34308,19713,19142,7300,6870,2488,2426,25810,24754,474509,454881,49032,47194,28448,27552,15144,14355,4839,4640
R,7,2024,11,4098157,2094504,2003653,1471370,1404036,320215,311593,35993,34734,132964,125286,7160,6873,126802,121131,1587792,1515181,387925,377131,60626,58412,181174,170581,16378,15487,1556558,1484351,1022164,970687,285675,278080,16785,16029,125868,118424,4714,4460,101352,96671,1115634,1059787,340216,330919,32787,31386,166307,156295,11562,10812,537946,519302,449206,433349,34540,33513,19208,18705,7096,6862,2446,2413,25450,24460,472158,455394,47709,46212,27839,27026,14867,14286,4816,4675
R,7,2024,12,4103978,2100760,2003218,1482675,1410314,321203,310648,37055,35623,127786,120758,6920,6705,125121,119170,1597533,1519686,388254,374966,61731,59230,174866,165138,15935,15267,1557230,1480658,1028224,973159,287107,277880,16851,16163,120826,114181,4497,4347,99725,94928,1120180,1060689,340985,329642,32839,31439,160238,151244,11180,10668,543530,522560,454451,437155,34096,32768,20204,19460,6960,6577,2423,2358,25396,24242,477353,458997,47269,45324,28892,27791,14628,13894,4755,4599
R,7,2024,13,4147488,2127822,2019666,1511310,1429968,323334,312079,35588,34170,125185,118049,6884,6574,125521,118826,1626630,1539036,390467,376051,60627,58108,172188,162136,15962,15083,1570244,1485643,1039850,979297,290708,280098,17141,16210,118396,111657,4498,4273,99651,94108,1131799,1066061,344559,331286,33312,31632,157562,148334,11190,10514,557578,534023,471460,450671,32626,31981,18447,17960,6789,6392,2386,2301,25870,24718,494831,472975,45908,44765,27315,26476,14626,13802,4772,4569
R,7,2024,14,4232615,2168033,2064582,1549212,1469148,327864,316584,35176,33874,123687,117809,6644,6478,125450,120689,1664752,1580047,395151,381890,60423,58510,169978,161830,15518,14957,1594240,1515564,1060416,1001499,295740,285675,17319,16967,117163,111703,4505,4339,99097,95381,1152075,1089499,349510,337765,33424,32856,155629,148351,11048,10539,573793,549018,488796,467649,32124,30909,17857,16907,6524,6106,2139,2139,26353,25308,512677,490548,45641,44125,26999,25654,14349,13479,4470,4418
R,7,2024,15,4323205,2213265,2109940,1587830,1506349,336647,326429,35492,34124,122810,117722,6676,6661,123810,118655,1701583,1615520,403210,390932,60613,57783,168082,160631,15345,14996,1630646,1553128,1089724,1030703,304400,295102,17882,17283,116219,111566,4539,4530,97882,93944,1180023,1117514,357761,346957,33918,32334,153909,147392,10940,10683,582619,556812,498106,475646,32247,31327,17610,16841,6591,6156,2137,2131,25928,24711,521560,498006,45449,43975,26695,25449,14173,13239,4405,4313
R,7,2024,16,4489849,2299487,2190362,1653075,1566331,349282,339058,37188,35689,128258,122668,6927,6715,124757,119901,1767607,1676395,416276,404541,62420,59930,173804,165731,15902,15008,1692365,1612786,1132178,1072052,316090,306906,18683,18049,121775,116416,4751,4483,98888,94880,1223298,1159454,370068,359612,34841,33442,159798,152274,11358,10611,607122,577576,520897,494279,33192,32152,18505,17640,6483,6252,2176,2232,25869,25021,544309,516941,46208,44929,27579,26488,14006,13457,4544,4397
R,7,2024,17,4487841,2299299,2188542,1659060,1573098,347857,335691,37709,35829,127483,121230,6842,6798,120348,115896,1769582,1679299,412161,398291,62552,59773,171428,162941,15517,15129,1694093,1612015,1139665,1078260,315176,304312,18550,18075,120890,115100,4726,4589,95086,91679,1227347,1162548,366751,354781,34413,33307,157438,149895,11135,10723,605206,576527,519395,494838,32681,31379,19159,17754,6593,6130,2116,2209,25262,24217,542235,516751,45410,43510,28139,26466,13990,13046,4382,4406
R,7,2024,18,4421661,2262620,2159041,1641763,1556842,334770,327295,36850,35065,127831,123687,6753,6608,114653,109544,1746985,1657312,395113,385558,61054,57992,170098,163650,14988,14440,1672785,1596958,1133776,1072883,303716,297095,18267,17764,121572,117873,4651,4532,90803,86811,1217363,1152768,352289,344159,33706,32415,156989,151237,10764,10298,589835,562083,507987,483959,31054,30200,18583,17301,6259,5814,2102,2076,23850,22733,529622,504544,42824,41399,27348,25577,13109,12413,4224,4142
